producto,marca,grupo,categoria,precio,precio_lista,pvp_sugerido,gap_pct,estado_sugerido,producto_sugerido,fuente_sugerido,super,sku,url
Cebolla En Cubos Artico 500 Gr,artico,artico,,74,74,,,,,,tata,170074,https://www.tata.com.uy/cebolla-en-cubos-artico-500-gr-170074/p
Chauchas,artico,artico,,179,179,,,,,,disco,410014,https://www.disco.com.uy/product/chauchas/410014
Chips de vegetales PRECIO LÍDER 100 g,artico,artico,,103,129,,,,,,disco,345417,https://www.disco.com.uy/product/chips-de-vegetales-precio-lider-100-g/345417
Chips de vegetales sin sal PRECIO LÍDER 100 g,artico,artico,,103,129,,,,,,disco,345418,https://www.disco.com.uy/product/chips-de-vegetales-sin-sal-precio-lider-100-g/345418
Choriburguer CAMPOSUR x 8 un. 668 g,artico,artico,,298,,,,,,,disco,260075,https://www.disco.com.uy/product/choriburguer-camposur-x-8-un-668-g/260075
Condimento para empanadas LA MANCHEGA 15 g,artico,artico,,50,,,,,,,disco,668175,https://www.disco.com.uy/product/condimento-para-empanadas-la-manchega-15-g/668175
Condimento para Milanesa Ahumado BRASAS & HUMOS 60 g,artico,artico,,149,,,,,,,disco,981141,https://www.disco.com.uy/product/condimento-para-milanesa-ahumado-brasas-humos-60-g/981141
Condimento para milanesas LA MANCHEGA 15 g,artico,artico,,46,,,,,,,disco,668173,https://www.disco.com.uy/product/condimento-para-milanesas-la-manchega-15-g/668173
Cortador de pizza utilita TRAMONTINA,artico,artico,,199,,,,,,,disco,456663,https://www.disco.com.uy/product/cortador-de-pizza-utilita-tramontina/456663
Cortador pizza 9.5 cm acero inox mango madera,artico,artico,,129,,,,,,,disco,406779,https://www.disco.com.uy/product/cortador-pizza-9-5-cm-acero-inox-mango-madera/406779
CROQUETAS RICAS Congeladas de Queso Azul 300 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1590176,"https://www.tiendainglesa.com.uy/supermercado/croquetas-ricas-congeladas-de-queso-azul-300-gr.producto?1590176,,42&campaign=search_facets"
Crujientes De Pollo Artico 400 Gr,artico,artico,,309,309,,,,,,tata,169391,https://www.tata.com.uy/crujientes-de-pollo-artico-400-gr-169391/p
DORITOS sabor Queso 235 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1548921,"https://www.tiendainglesa.com.uy/supermercado/doritos-sabor-queso-235-gr.producto?1548921,,42&campaign=RM-voAOi3knUiIEhy1t9fa57b6talKMxb0dTLWxK8MCFtExXu7ZuWCELdeLUCZSLDqjBZUvmMQLFgH6o8hEOxxCqXuh43qI7eK2iiisWhR9HhMRbQeRVQJGo8CpwJRwwcEnaSHbAxyd3BmNbtYxwdDwM5BxyETL13M7oyjFrMdjav48q5ZaK1Myext6eLYwXYsxpcyRD43F"
Empanada capresse para copetín x un.,artico,artico,,499,,,,,,,disco,137772,https://www.disco.com.uy/product/empanada-capresse-para-copetin-x-un/137772
Empanada capresse x un.,artico,artico,,89,,,,,,,disco,137407,https://www.disco.com.uy/product/empanada-capresse-x-un/137407
Empanada capresse,artico,artico,,89,,,,,,,disco,137590,https://www.disco.com.uy/product/empanada-capresse/137590
Empanada carne con aceituna,artico,artico,,89,,,,,,,disco,137609,https://www.disco.com.uy/product/empanada-carne-con-aceituna/137609
