producto,marca,grupo,categoria,precio,precio_lista,pvp_sugerido,gap_pct,estado_sugerido,producto_sugerido,fuente_sugerido,super,sku,url
Espátula para hamburguesas 31 cm acero inoxidable,artico,artico,,449,,,,,,,disco,551790,https://www.disco.com.uy/product/espatula-para-hamburguesas-31-cm-acero-inoxidable/551790
Esterilla 27x27 cm para sushi,artico,artico,,99,,,,,,,disco,551565,https://www.disco.com.uy/product/esterilla-27x27-cm-para-sushi/551565
Fideos ADRIA Moña Chica Corbatita 500 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,4943,"https://www.tiendainglesa.com.uy/supermercado/fideos-adria-mona-chica-corbatita-500-gr.producto?4943,,42&campaign=search_facets"
Fideos ADRIA Tirabuzones 500 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,4843,"https://www.tiendainglesa.com.uy/supermercado/fideos-adria-tirabuzones-500-gr.producto?4843,,42&campaign=search_facets"
Filet Artico De Merluza 400Gr,artico,artico,,289.9,289.9,,,,,,eldorado,7068,https://www.eldorado.com.uy/filet-artico-de-merluza-400gr/p
Filet Artico De Merluza 750Gr,artico,artico,,583,583,,,,,,eldorado,890,https://www.eldorado.com.uy/filet-artico-de-merluza-750gr/p
Filet Artico Pangasisus Congelada 1Kg,artico,artico,,369,369,,,,,,eldorado,20520,https://www.eldorado.com.uy/filet-artico-pangasisus-congelada-1kg/p
Filet de anchoa 90 g,artico,artico,,319,,,,,,,disco,390255,https://www.disco.com.uy/product/filet-de-anchoa-90-g/390255
Filet de anchoas ZAROTTI en aceite de girasol 80 g,artico,artico,,326,,,,,,,disco,666536,https://www.disco.com.uy/product/filet-de-anchoas-zarotti-en-aceite-de-girasol-80-g/666536
Filet de Brótola en bandeja x 250 g,artico,artico,,245,979,,,,,,disco,390204,https://www.disco.com.uy/product/filet-de-brotola-en-bandeja-x-250-g/390204
Filet de Merluza a la Romana POLAR FOOD 500 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1602753,"https://www.tiendainglesa.com.uy/supermercado/filet-de-merluza-a-la-romana-polar-food-500-gr.producto?1602753,,42&campaign=search_facets"
Filet de Merluza a la Romana Provenzal Congelados ARTICO 500 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,244118,"https://www.tiendainglesa.com.uy/supermercado/filet-de-merluza-a-la-romana-provenzal-congelados-artico-500-gr.producto?244118,,42"
Filet de Merluza ARTICO 750 g,artico,artico,,522,,,,,,,disco,233820,https://www.disco.com.uy/product/filet-de-merluza-artico-750-g/233820
Filet De Merluza Artico Sin Espinas 750 G,artico,artico,,569,569,,,,,,tata,147525,https://www.tata.com.uy/filet-de-merluza-artico-sin-espinas-750-g-147525/p
Filet de merluza rebozado MAR DEL ESTE 500 g,artico,artico,,371,,,,,,,disco,241946,https://www.disco.com.uy/product/filet-de-merluza-rebozado-mar-del-este-500-g/241946
Filet de Merluza Rebozados a la Milanesa Puerto Pescado TIENDA INGLESA... en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,26144,"https://www.tiendainglesa.com.uy/supermercado/filet-de-merluza-rebozados-a-la-milanesa-puerto-pescado-tienda-inglesa-con-4-unidades-kg.producto?26144,,42"
Filet De Tilapia Artico Sin Espina 1 Kg,artico,artico,,375,375,,,,,,tata,173064,https://www.tata.com.uy/filet-de-tilapia-artico-sin-espina-1-kg-1000461894-173064/p
Filet de Tilapia en bandeja x 250 g,artico,artico,,108,429,,,,,,disco,390440,https://www.disco.com.uy/product/filet-de-tilapia-en-bandeja-x-250-g/390440
Filet Merluza A La Romana Cong Artico 500 G,artico,artico,,371,371,,,,,,tata,3957,https://www.tata.com.uy/filet-merluza-a-la-romana-cong-artico-500-g-3957/p
Filete Congelado De Pangasius Ártico 1 Kg,artico,artico,,669,669,,,,,,tata,3959,https://www.tata.com.uy/filete-congelado-de-pangasius-artico-1-kg-3959/p
Filete De Merluza Sin Espinas Ártico 400 G,artico,artico,,284,284,,,,,,tata,3961,https://www.tata.com.uy/filete-de-merluza-sin-espinas-artico-400-g-3961/p
Filetes de Merluza ARTICO sin Espina 400 g,artico,artico,,289,,,,,,,disco,233202,https://www.disco.com.uy/product/filetes-de-merluza-artico-sin-espina-400-g/233202
Filetes de Merluza sin Piel y sin Espinas ARTICO 400 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,868,"https://www.tiendainglesa.com.uy/supermercado/filetes-de-merluza-sin-piel-y-sin-espinas-artico-400-gr.producto?868,,42"
Filetes de Merluza sin Piel y sin Espinas Congelados ARTICO 750 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,869,"https://www.tiendainglesa.com.uy/supermercado/filetes-de-merluza-sin-piel-y-sin-espinas-congelados-artico-750-gr.producto?869,,42"
Formitas de Merluza Rebozadas TIENDA INGLESA 500 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,26142,"https://www.tiendainglesa.com.uy/supermercado/formitas-de-merluza-rebozadas-tienda-inglesa-500-gr.producto?26142,,42&campaign=search_facets"
Formitas De Pollo Artico 300 G,artico,artico,,148,158,,,,,,tata,169394,https://www.tata.com.uy/formitas-de-pollo-artico-300-g-169394/p
Formitas de Pollo ARTICO 300 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1556092,"https://www.tiendainglesa.com.uy/supermercado/formitas-de-pollo-artico-300-gr.producto?1556092,,42"
Fruta Artico Congelada Pulpa De Mango 400gr,artico,artico,,260,260,,,,,,eldorado,59676,https://www.eldorado.com.uy/fruta-artico-congelada-pulpa-de-mango-400gr/p
Galletitas PIT STOP Pizza 137 g,artico,artico,,50,,,,,,,disco,774313,https://www.disco.com.uy/product/galletitas-pit-stop-pizza-137-g/774313
Golden Chicken SADIA tradicional 700 g,artico,artico,,396,,,,,,,disco,241666,https://www.disco.com.uy/product/golden-chicken-sadia-tradicional-700-g/241666
Hamburguesa de soja SOJAMIL 400 g,artico,artico,,345,,,,,,,disco,234785,https://www.disco.com.uy/product/hamburguesa-de-soja-sojamil-400-g/234785
Hamburguesa espinaca y queso x un.,artico,artico,,79,,,,,,,disco,118033,https://www.disco.com.uy/product/hamburguesa-espinaca-y-queso-x-un/118033
"Hamburguesa Espinaca, calabacín, remolacha ORO VERDE x 6 un",artico,artico,,673,,,,,,,disco,235785,https://www.disco.com.uy/product/hamburguesa-espinaca-calabacin-remolacha-oro-verde-x-6-un/235785
Hamburguesa Extra x 12 CAMPOSUR 1 kg,artico,artico,,604,,,,,,,disco,260282,https://www.disco.com.uy/product/hamburguesa-extra-x-12-camposur-1-kg/260282
Hamburguesa Garbanzo Y Calabaza Artico 1 U,artico,artico,,136,136,,,,,,tata,117876,https://www.tata.com.uy/hamburguesa-garbanzo-y-calabaza-artico-1-u-117876/p
Hamburguesa Hamby 12 un. 1 kg,artico,artico,,553,,,,,,,disco,234662,https://www.disco.com.uy/product/hamburguesa-hamby-12-un-1-kg/234662
Hamburguesa kale y quinoa x un.,artico,artico,,80,,,,,,,disco,118011,https://www.disco.com.uy/product/hamburguesa-kale-y-quinoa-x-un/118011
Hamburguesa SARUBBI 190 g x 2 un.,artico,artico,,105,,,,,,,disco,241909,https://www.disco.com.uy/product/hamburguesa-sarubbi-190-g-x-2-un/241909
Hamburguesa SCHNECK XL x 2 un. 220 g,artico,artico,,146,,,,,,,disco,260076,https://www.disco.com.uy/product/hamburguesa-schneck-xl-x-2-un-220-g/260076
Hamburguesa Veggie Artico 200 g 2 U,artico,artico,,235,235,,,,,,tata,117863,https://www.tata.com.uy/hamburguesa-veggie-artico-200-g-2-u-1000368947-117863/p
Hamburguesa Veggie SCHNECK Boniato Zanahoria 6 un. 540 g,artico,artico,,522,,,,,,,disco,242129,https://www.disco.com.uy/product/hamburguesa-veggie-schneck-boniato-zanahoria-6-un-540-g/242129
Hamburguesa Veggie SCHNECK Espinaca Puerro 6 un. 540 g,artico,artico,,522,,,,,,,disco,242128,https://www.disco.com.uy/product/hamburguesa-veggie-schneck-espinaca-puerro-6-un-540-g/242128
Hamburguesa,artico,artico,,169,,,,,,,disco,473647,https://www.disco.com.uy/product/hamburguesa/473647
Hamburguesas ARDO coliflor y queso 1 kg,artico,artico,,829,,,,,,,disco,241333,https://www.disco.com.uy/product/hamburguesas-ardo-coliflor-y-queso-1-kg/241333
Hamburguesas ARDO Espinaca 1 Kg en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,394711,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-ardo-espinaca-1-kg.producto?394711,,42&campaign=search_facets"
Hamburguesas ARDO remolacha 1 kg,artico,artico,,858,,,,,,,disco,241350,https://www.disco.com.uy/product/hamburguesas-ardo-remolacha-1-kg/241350
Hamburguesas BURGERBIF 2 un. 167 g,artico,artico,,76,,,,,,,disco,234139,https://www.disco.com.uy/product/hamburguesas-burgerbif-2-un-167-g/234139
Hamburguesas BURGY gastronómica 3 un. 150 g,artico,artico,,48,,,,,,,disco,234153,https://www.disco.com.uy/product/hamburguesas-burgy-gastronomica-3-un-150-g/234153
Hamburguesas CAMPOSUR 12 un. Kosher 900 g,artico,artico,,619,,,,,,,disco,234594,https://www.disco.com.uy/product/hamburguesas-camposur-12-un-kosher-900-g/234594
"Hamburguesas CAMPOSUR Extra 20+4 1,8 kg",artico,artico,,983,,,,,,,disco,231061,https://www.disco.com.uy/product/hamburguesas-camposur-extra-20-4-1-8-kg/231061
Hamburguesas chori SCHNECK 2 un.,artico,artico,,71,,,,,,,disco,234157,https://www.disco.com.uy/product/hamburguesas-chori-schneck-2-un/234157
Hamburguesas CONAPROLE Angus 6 un. 600 g,artico,artico,,325,,,,,,,disco,234195,https://www.disco.com.uy/product/hamburguesas-conaprole-angus-6-un-600-g/234195
Hamburguesas CONAPROLE x 2 un. 140 g,artico,artico,,95,,,,,,,disco,241582,https://www.disco.com.uy/product/hamburguesas-conaprole-x-2-un-140-g/241582
"Hamburguesas de arvejas, verdeo, coco y limón MANDUCAS x4 un. 440 g",artico,artico,,312,,,,,,,disco,231071,https://www.disco.com.uy/product/hamburguesas-de-arvejas-verdeo-coco-y-limon-manducas-x4-un-440-g/231071
Hamburguesas De Atun Artico 500 G,artico,artico,,435,435,,,,,,tata,169393,https://www.tata.com.uy/hamburguesas-de-atun-artico-500-g-169393/p
Hamburguesas de Calabaza ORO VERDE 250 g x (2 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1547318,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-de-calabaza-oro-verde-250-g-x-2-un..producto?1547318,,42&campaign=search_facets"
Hamburguesas de espinaca ARDO 1 kg,artico,artico,,701,,,,,,,disco,241206,https://www.disco.com.uy/product/hamburguesas-de-espinaca-ardo-1-kg/241206
Hamburguesas de lentejas y remolacha MANDUCAS x4 un. 440 g,artico,artico,,312,,,,,,,disco,231068,https://www.disco.com.uy/product/hamburguesas-de-lentejas-y-remolacha-manducas-x4-un-440-g/231068
Hamburguesas de merluza con espinaca x 500 g,artico,artico,,219,,,,,,,disco,390132,https://www.disco.com.uy/product/hamburguesas-de-merluza-con-espinaca-x-500-g/390132
Hamburguesas de merluza x 500 g,artico,artico,,219,,,,,,,disco,390131,https://www.disco.com.uy/product/hamburguesas-de-merluza-x-500-g/390131
"Hamburguesas de mijo, espinaca y nuez MANDUCAS x4 un. 440 g",artico,artico,,312,,,,,,,disco,231067,https://www.disco.com.uy/product/hamburguesas-de-mijo-espinaca-y-nuez-manducas-x4-un-440-g/231067
"Hamburguesas de mijo, puerro y zanahoria MANDUCAS x4 un. 440 g",artico,artico,,312,,,,,,,disco,231069,https://www.disco.com.uy/product/hamburguesas-de-mijo-puerro-y-zanahoria-manducas-x4-un-440-g/231069
Hamburguesas de quinoa y calabaza MANDUCAS x4 un. 440 g,artico,artico,,312,,,,,,,disco,231066,https://www.disco.com.uy/product/hamburguesas-de-quinoa-y-calabaza-manducas-x4-un-440-g/231066
"Hamburguesas de quinoa y kale ARDO 1,2 kg",artico,artico,,981,,,,,,,disco,242029,https://www.disco.com.uy/product/hamburguesas-de-quinoa-y-kale-ardo-1-2-kg/242029
Hamburguesas Extra Light CAMPOSUR sin Sal x 8 un. cj. 600 g,artico,artico,,396,,,,,,,disco,235078,https://www.disco.com.uy/product/hamburguesas-extra-light-camposur-sin-sal-x-8-un-cj-600-g/235078
Hamburguesas Garbanzo y Lentejas ORO VERDE x 6 un. 750 g,artico,artico,,673,,,,,,,disco,235784,https://www.disco.com.uy/product/hamburguesas-garbanzo-y-lentejas-oro-verde-x-6-un-750-g/235784
Hamburguesas HAMBY light 8 un.,artico,artico,,349,,,,,,,disco,214789,https://www.disco.com.uy/product/hamburguesas-hamby-light-8-un/214789
Hamburguesas LA DOLFINA 3 un. 150 g,artico,artico,,30,,,,,,,disco,235981,https://www.disco.com.uy/product/hamburguesas-la-dolfina-3-un-150-g/235981
Hamburguesas light sin sal CAMPOSUR 12 un. 900 g,artico,artico,,536,,,,,,,disco,234590,https://www.disco.com.uy/product/hamburguesas-light-sin-sal-camposur-12-un-900-g/234590
"Hamburguesas ORO VERDE Espinaca, Garbanzo y Kale ORO VERDE (2 un.) 250... en Tienda Inglesa",artico,artico,,,,,,,,,tiendainglesa,1547319,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-oro-verde-espinaca-garbanzo-y-kale-oro-verde-2-un.-250-g.producto?1547319,,42&campaign=search_facets"
Hamburguesas parrilleras CAMPOSUR 12 un. 900 g,artico,artico,,255,319,,,,,,disco,234581,https://www.disco.com.uy/product/hamburguesas-parrilleras-camposur-12-un-900-g/234581
Hamburguesas SARUBBI x 12 un. 1.140 g,artico,artico,,727,,,,,,,disco,234239,https://www.disco.com.uy/product/hamburguesas-sarubbi-x-12-un-1-140-g/234239
Hamburguesas SARUBBI x 6 un. 570 g,artico,artico,,388,,,,,,,disco,234238,https://www.disco.com.uy/product/hamburguesas-sarubbi-x-6-un-570-g/234238
Hamburguesas SCHNECK 12 un. 1 kg,artico,artico,,609,,,,,,,disco,234823,https://www.disco.com.uy/product/hamburguesas-schneck-12-un-1-kg/234823
Hamburguesas SCHNECK 2 un.,artico,artico,,105,,,,,,,disco,234178,https://www.disco.com.uy/product/hamburguesas-schneck-2-un/234178
Hamburguesas SCHNECK 8 un. 668 g,artico,artico,,407,,,,,,,disco,234822,https://www.disco.com.uy/product/hamburguesas-schneck-8-un-668-g/234822
Hamburguesas SCHNECK sin sal 2 un. 167 g,artico,artico,,117,,,,,,,disco,245178,https://www.disco.com.uy/product/hamburguesas-schneck-sin-sal-2-un-167-g/245178
Hamburguesas SCHNECK x 24 2 kg,artico,artico,,999,,,,,,,disco,241077,https://www.disco.com.uy/product/hamburguesas-schneck-x-24-2-kg/241077
Hamburguesas SCHNECK XL Premium x 8 880 g,artico,artico,,592,,,,,,,disco,242149,https://www.disco.com.uy/product/hamburguesas-schneck-xl-premium-x-8-880-g/242149
Hamburguesas sin Sal LAS PIEDRAS x 4 un. 480 g,artico,artico,,299,,,,,,,disco,235101,https://www.disco.com.uy/product/hamburguesas-sin-sal-las-piedras-x-4-un-480-g/235101
Hamburguesas Smash TACUAREMBÓ 6 un. 702 g,artico,artico,,649,,,,,,,disco,234190,https://www.disco.com.uy/product/hamburguesas-smash-tacuarembo-6-un-702-g/234190
Hamburguesas TIENDA INGLESA Espinaca (2 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1561581,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-tienda-inglesa-espinaca-2-un..producto?1561581,,42&campaign=search_facets"
Hamburguesas TIENDA INGLESA Garbanzo (2 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1561580,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-tienda-inglesa-garbanzo-2-un..producto?1561580,,42&campaign=search_facets"
Hamburguesas Vegana BEYOND MEAT (2 un.) 113 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1529951,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-vegana-beyond-meat-2-un.-113-g.producto?1529951,,42&campaign=search_facets"
Hamburguesas Vegana MAITE Parrillera (2 un.) 220 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1586486,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-vegana-maite-parrillera-2-un.-220-g.producto?1586486,,42&campaign=search_facets"
Hamburguesas Vegana NOTCO Not Burger (2 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1557926,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-vegana-notco-not-burger-2-un..producto?1557926,,42&campaign=search_facets"
Hamburguesas Vegana NOTCO Not Burger (4 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1557929,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-vegana-notco-not-burger-4-un..producto?1557929,,42&campaign=search_facets"
Hamburguesas Vegana NOTCO XL (2 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1557928,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-vegana-notco-xl-2-un..producto?1557928,,42&campaign=search_facets"
Hamburguesas Veganas MANDUCAS sabor Garbanzo y Kale 440 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1517593,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-veganas-manducas-sabor-garbanzo-y-kale-440-g.producto?1517593,,42&campaign=search_facets"
Hamburguesas Veganas MANDUCAS sabor Lentejas y Remolacha 440 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1517552,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-veganas-manducas-sabor-lentejas-y-remolacha-440-g.producto?1517552,,42&campaign=search_facets"
"Hamburguesas Veganas MANDUCAS sabor Mijo, Espinaca y Nuéz 440 g en Tienda Inglesa",artico,artico,,,,,,,,,tiendainglesa,1517553,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-veganas-manducas-sabor-mijo-espinaca-y-nuez-440-g.producto?1517553,,42&campaign=search_facets"
"Hamburguesas Veganas MANDUCAS sabor Mijo, Puerro y Zanahoria 440 g en Tienda Inglesa",artico,artico,,,,,,,,,tiendainglesa,1517554,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-veganas-manducas-sabor-mijo-puerro-y-zanahoria-440-g.producto?1517554,,42&campaign=search_facets"
Hamburguesas Veganas MANDUCAS sabor Quinoa y Calabaza 440 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1517556,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-veganas-manducas-sabor-quinoa-y-calabaza-440-g.producto?1517556,,42&campaign=search_facets"
Hamburguesas Veganas ORO VERDE Surtidas 750 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1561726,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-veganas-oro-verde-surtidas-750-g.producto?1561726,,42&campaign=search_facets"
Hamburguesas Vegetarianas TIENDA INGLESA Lentejas (2 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1561579,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-vegetarianas-tienda-inglesa-lentejas-2-un..producto?1561579,,42&campaign=search_facets"
Hamburguesas Veggie ÁRTICO (2 un.) 200 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1596949,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-veggie-artico-2-un.-200-g.producto?1596949,,42"
Hamburguesas Veggie SCHNECK Boniato y Zanahoria (2 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1561730,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-veggie-schneck-boniato-y-zanahoria-2-un..producto?1561730,,42&campaign=search_facets"
Hamburguesas veggie SCHNECK boniato y zanahoria x 2 un 180 g,artico,artico,,109,,,,,,,disco,241239,https://www.disco.com.uy/product/hamburguesas-veggie-schneck-boniato-y-zanahoria-x-2-un-180-g/241239
Hamburguesas Veggie SCHNECK Espinaca y Puerro (2 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1561727,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-veggie-schneck-espinaca-y-puerro-2-un..producto?1561727,,42&campaign=search_facets"
Hamburguesas veggie SCHNECK espinaca y puerro x 2 un 180 g,artico,artico,,109,,,,,,,disco,241238,https://www.disco.com.uy/product/hamburguesas-veggie-schneck-espinaca-y-puerro-x-2-un-180-g/241238
Helado alfajor vainilla CONAPROLE 66 g,artico,artico,,82,,,,,,,disco,236929,https://www.disco.com.uy/product/helado-alfajor-vainilla-conaprole-66-g/236929
Helado Chocolate holandés marmolado con dulce de leche CONAPROLE 2 L,artico,artico,,491,,,,,,,disco,212016,https://www.disco.com.uy/product/helado-chocolate-holandes-marmolado-con-dulce-de-leche-conaprole-2-l/212016
Helado chocolate holandés y menta CONAPROLE 2 L,artico,artico,,491,,,,,,,disco,212013,https://www.disco.com.uy/product/helado-chocolate-holandes-y-menta-conaprole-2-l/212013
Helado CONAPROLE dulce de leche granizado 2 L,artico,artico,,528,,,,,,,disco,241885,https://www.disco.com.uy/product/helado-conaprole-dulce-de-leche-granizado-2-l/241885
Helado CONAPROLE light Vainilla Chocolate Granizado 2 L,artico,artico,,491,,,,,,,disco,241576,https://www.disco.com.uy/product/helado-conaprole-light-vainilla-chocolate-granizado-2-l/241576
Helado CONAPROLE limón 2 L,artico,artico,,473,,,,,,,disco,241068,https://www.disco.com.uy/product/helado-conaprole-limon-2-l/241068
Helado CONAPROLE mixto frutilla y mango 2 L,artico,artico,,528,,,,,,,disco,212012,https://www.disco.com.uy/product/helado-conaprole-mixto-frutilla-y-mango-2-l/212012
Helado CONAPROLE Mixto Vainilla Dulce de Leche con Almendras y Caramelo 2 L,artico,artico,,491,,,,,,,disco,235075,https://www.disco.com.uy/product/helado-conaprole-mixto-vainilla-dulce-de-leche-con-almendras-y-caramelo-2-l/235075
Helado CONAPROLE triple crema-chocolate-frutilla 1 L,artico,artico,,294,,,,,,,disco,212025,https://www.disco.com.uy/product/helado-conaprole-triple-crema-chocolate-frutilla-1-l/212025
"Helado CONAPROLE triple crema, chocolate y frutilla 2 L",artico,artico,,528,,,,,,,disco,241045,https://www.disco.com.uy/product/helado-conaprole-triple-crema-chocolate-y-frutilla-2-l/241045
Helado crema tramontana CONAPROLE 2 L,artico,artico,,491,,,,,,,disco,212015,https://www.disco.com.uy/product/helado-crema-tramontana-conaprole-2-l/212015
Helado Máxima con almendras CONAPROLE,artico,artico,,98,,,,,,,disco,236202,https://www.disco.com.uy/product/helado-maxima-con-almendras-conaprole/236202
Helado Máxima CONAPROLE,artico,artico,,98,,,,,,,disco,236234,https://www.disco.com.uy/product/helado-maxima-conaprole/236234
Helado palito frutilla manzana CONAPROLE 60 cc,artico,artico,,26,,,,,,,disco,236258,https://www.disco.com.uy/product/helado-palito-frutilla-manzana-conaprole-60-cc/236258
Helado palito frutilla naranja CONAPROLE 60 ml,artico,artico,,26,,,,,,,disco,236612,https://www.disco.com.uy/product/helado-palito-frutilla-naranja-conaprole-60-ml/236612
Helado sándwich crema dulce de leche CONAPROLE,artico,artico,,59,,,,,,,disco,236072,https://www.disco.com.uy/product/helado-sandwich-crema-dulce-de-leche-conaprole/236072
Hierbas para pescados CAMPO CLARO 10 g,artico,artico,,63,,,,,,,disco,490564,https://www.disco.com.uy/product/hierbas-para-pescados-campo-claro-10-g/490564
Hierbas para pizzas CAMPO CLARO 10 g,artico,artico,,63,,,,,,,disco,490565,https://www.disco.com.uy/product/hierbas-para-pizzas-campo-claro-10-g/490565
Huevo Colorado TIENDA INGLESA Jumbo 12 Unidades en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,4816,"https://www.tiendainglesa.com.uy/supermercado/huevo-colorado-tienda-inglesa-jumbo-12-unidades.producto?4816,,42&campaign=search_facets"
Juego para Crear Hamburguesas,artico,artico,,790,,,,,,,disco,934558,https://www.disco.com.uy/product/juego-para-crear-hamburguesas/934558
Langostino Pelado Crudo Argentino ARTICO 400 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1012945,"https://www.tiendainglesa.com.uy/supermercado/langostino-pelado-crudo-argentino-artico-400-gr.producto?1012945,,42"
Leche de Almendras VALSOIA 1 L en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,365130,"https://www.tiendainglesa.com.uy/supermercado/leche-de-almendras-valsoia-1-l.producto?365130,,42"
Leche de Avena VALSOIA 1 L en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,365136,"https://www.tiendainglesa.com.uy/supermercado/leche-de-avena-valsoia-1-l.producto?365136,,42"
Leche de Coco Zero VALSOIA 1 L en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1546109,"https://www.tiendainglesa.com.uy/supermercado/leche-de-coco-zero-valsoia-1-l.producto?1546109,,42"
Leche de Soja Original VALSOIA 1 L en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,365137,"https://www.tiendainglesa.com.uy/supermercado/leche-de-soja-original-valsoia-1-l.producto?365137,,42"
Lechuga Morada,artico,artico,,59,,,,,,,disco,400019,https://www.disco.com.uy/product/lechuga-morada/400019
Lechuga SALANOVA en bolsa,artico,artico,,59,,,,,,,disco,413063,https://www.disco.com.uy/product/lechuga-salanova-en-bolsa/413063
Majuga entera 350 g,artico,artico,,149,,,,,,,disco,390261,https://www.disco.com.uy/product/majuga-entera-350-g/390261
Mango En Cubos 1 Kg Artico,artico,artico,,405,509,,,,,,tata,169738,https://www.tata.com.uy/mango-en-cubos-1-kg-artico-169738/p
Medallon Artico Lentejas Y Arroz Yamani 2 U,artico,artico,,265,265,,,,,,tata,136908,https://www.tata.com.uy/medallon-artico-lentejas-y-arroz-yamani-2-u-136908/p
Medallón Congelado De Merluza Ártico 2 U 150 G,artico,artico,,70,105,,,,,,tata,905,https://www.tata.com.uy/medallon-congelado-de-merluza-artico-2-u-150-g-905/p
Medallon De Merluza Artico Con Espinaca 500 g,artico,artico,,225,285,,,,,,tata,172492,https://www.tata.com.uy/medallon-de-merluza-artico-con-espinaca-500-g-1000586852-172492/p
Medallón De Merluza Cong Artico 1 Kg,artico,artico,,483,483,,,,,,tata,3958,https://www.tata.com.uy/medallon-de-merluza-cong-artico-1-kg-3958/p
Medallón de Merluza MAR DEL ESTE 430 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1538999,"https://www.tiendainglesa.com.uy/supermercado/medallon-de-merluza-mar-del-este-430-gr.producto?1538999,,42&campaign=search_facets"
Medallón de merluza PATAGONIA MARE 400 g,artico,artico,,156,,,,,,,disco,233420,https://www.disco.com.uy/product/medallon-de-merluza-patagonia-mare-400-g/233420
Medallón de merluza PATAGONIA MARE queso y espinaca 400 g,artico,artico,,139,174,,,,,,disco,233421,https://www.disco.com.uy/product/medallon-de-merluza-patagonia-mare-queso-y-espinaca-400-g/233421
Medallon De Pollo Con Espinaca Artico 500 G,artico,artico,,315,315,,,,,,tata,170512,https://www.tata.com.uy/medallon-de-pollo-con-espinaca-artico-500-g-170512/p
Medallon De Pollo Con Jamon Y Queso Artico 500 Gr,artico,artico,,315,315,,,,,,tata,170511,https://www.tata.com.uy/medallon-de-pollo-con-jamon-y-queso-artico-500-gr-170511/p
Medallones Artico De Merluza 2Un,artico,artico,,66.43,94.9,,,,,,eldorado,7069,https://www.eldorado.com.uy/medallones-artico-de-merluza-2un/p
Medallones Cerdo al vacío CAMPOSUR x 800 g,artico,artico,,344,429,,,,,,disco,374150,https://www.disco.com.uy/product/medallones-cerdo-al-vacio-camposur-x-800-g/374150
